ID,Draw,Centrifugation,Freeze,PreCent,PostCent,TTF
S2222,05/09/2022 11:00,05/09/2022 11:13,05/09/2022 11:43,0.216666667,0.5,0.716666667
S2212,08/09/2022 10:39,08/09/2022 10:58,08/09/2022 11:32,0.316666667,0.566666667,0.883333333
S2371,28/07/2022 11:00,28/07/2022 11:22,28/07/2022 14:11,0.366666667,2.816666667,3.183333333
S2044,20/10/2022 09:55,20/10/2022 10:18,20/10/2022 10:50,0.383333333,0.533333333,0.916666667
S2361,29/07/2022 13:39,29/07/2022 14:03,29/07/2022 14:26,0.4,0.383333333,0.783333333
S2637,28/09/2020 06:00,28/09/2020 06:25,28/09/2020 09:47,0.416666667,3.366666667,3.783333333
S2199,13/09/2022 15:00,13/09/2022 15:25,13/09/2022 16:54,0.416666667,1.483333333,1.9
S2012,01/11/2022 09:47,01/11/2022 10:12,01/11/2022 10:39,0.416666667,0.45,0.866666667
S1936,15/11/2022 15:31,15/11/2022 15:56,15/11/2022 16:21,0.416666667,0.416666667,0.833333333
S2353,02/08/2022 09:54,02/08/2022 10:22,02/08/2022 11:29,0.466666667,1.116666667,1.583333333
S1880,30/11/2022 13:25,30/11/2022 13:53,30/11/2022 14:47,0.466666667,0.9,1.366666667
S2362,29/07/2022 10:26,29/07/2022 10:54,29/07/2022 11:23,0.466666667,0.483333333,0.95
S1866,01/12/2022 13:56,01/12/2022 14:27,01/12/2022 16:08,0.516666667,1.683333333,2.2
S1886,28/11/2022 15:16,28/11/2022 15:47,28/11/2022 16:32,0.516666667,0.75,1.266666667
S2273,23/08/2022 10:06,23/08/2022 10:37,23/08/2022 11:07,0.516666667,0.5,1.016666667
S2013,01/11/2022 09:41,01/11/2022 10:12,01/11/2022 10:39,0.516666667,0.45,0.966666667
S2048,19/10/2022 14:14,19/10/2022 14:45,19/10/2022 15:10,0.516666667,0.416666667,0.933333333
S2379,27/07/2022 13:37,27/07/2022 14:09,27/07/2022 15:36,0.533333333,1.45,1.983333333
S2376,27/07/2022 14:24,27/07/2022 14:56,27/07/2022 15:36,0.533333333,0.666666667,1.2
S2367,29/07/2022 08:54,29/07/2022 09:27,29/07/2022 11:00,0.55,1.55,2.1
S2498,13/07/2022 08:20,13/07/2022 08:54,13/07/2022 11:33,0.566666667,2.65,3.216666667
S2052,19/10/2022 12:19,19/10/2022 12:53,19/10/2022 14:20,0.566666667,1.45,2.016666667
S2380,27/07/2022 13:35,27/07/2022 14:09,27/07/2022 15:36,0.566666667,1.45,2.016666667
S2410,21/07/2022 14:35,21/07/2022 15:09,21/07/2022 15:44,0.566666667,0.583333333,1.15
S2223,05/09/2022 10:39,05/09/2022 11:13,05/09/2022 11:43,0.566666667,0.5,1.066666667
S2513,11/07/2022 14:49,11/07/2022 15:23,11/07/2022 15:47,0.566666667,0.4,0.966666667
S1876,01/12/2022 10:38,01/12/2022 11:12,01/12/2022 11:32,0.566666667,0.333333333,0.9
S2359,01/08/2022 10:09,01/08/2022 10:44,01/08/2022 14:32,0.583333333,3.8,4.383333333
S2403,25/07/2022 11:23,25/07/2022 11:58,25/07/2022 13:02,0.583333333,1.066666667,1.65
S1865,01/12/2022 14:43,01/12/2022 15:18,01/12/2022 16:08,0.583333333,0.833333333,1.416666667
S1991,03/11/2022 10:31,03/11/2022 11:06,03/11/2022 11:41,0.583333333,0.583333333,1.166666667
S1879,30/11/2022 15:10,30/11/2022 15:45,30/11/2022 16:09,0.583333333,0.4,0.983333333
S1843,09/12/2022 10:37,09/12/2022 11:12,09/12/2022 11:33,0.583333333,0.35,0.933333333
S2483,13/07/2022 14:56,13/07/2022 15:31,13/07/2022 15:51,0.583333333,0.333333333,0.916666667
S2055,19/10/2022 11:23,19/10/2022 11:59,19/10/2022 13:09,0.6,1.166666667,1.766666667
S2407,25/07/2022 09:30,25/07/2022 10:06,25/07/2022 11:11,0.6,1.083333333,1.683333333
S2453,18/07/2022 15:04,18/07/2022 15:40,18/07/2022 16:39,0.6,0.983333333,1.583333333
S1952,10/11/2022 13:36,10/11/2022 14:12,10/11/2022 15:03,0.6,0.85,1.45
S2418,21/07/2022 10:53,21/07/2022 11:29,21/07/2022 12:09,0.6,0.666666667,1.266666667
S2123,07/10/2022 08:47,07/10/2022 09:23,07/10/2022 09:51,0.6,0.466666667,1.066666667
S2043,20/10/2022 10:20,20/10/2022 10:56,20/10/2022 11:21,0.6,0.416666667,1.016666667
S1955,10/11/2022 11:25,10/11/2022 12:02,10/11/2022 13:29,0.616666667,1.45,2.066666667
S2042,20/10/2022 10:46,20/10/2022 11:24,20/10/2022 14:03,0.633333333,2.65,3.283333333
S2404,25/07/2022 11:00,25/07/2022 11:38,25/07/2022 13:02,0.633333333,1.4,2.033333333
S1992,03/11/2022 10:28,03/11/2022 11:06,03/11/2022 11:41,0.633333333,0.583333333,1.216666667
S2056,19/10/2022 11:19,19/10/2022 11:59,19/10/2022 13:09,0.666666667,1.166666667,1.833333333
