name,Type,conr2,margr2,intercept,slope,30%,Limit,Timepoint
glutamate,Serum,0.650488168,0.378589405,0.05796369,0.005472718,0.017389107,0.075352797,3.177416753
citrate,Serum,0.821635175,0.190146727,0.157349222,-0.010518204,0.047204767,0.110144455,4.487911453
tg_ldl_4_mg_dl,Serum,0.994267701,0.041386942,3.288742424,0.205976263,0.986622727,4.275365151,4.789982663
f_chol_vldl_4_mg_dl,Serum,0.988657084,0.046177637,1.371002431,0.081366261,0.411300729,1.78230316,5.054929669
apo_b_ldl_4_mg_dl,Serum,0.98600548,0.059490566,11.57037868,0.619136887,3.471113604,15.04149229,5.606375068
ldl_4_particles_nmol_l,Serum,0.986018089,0.059430895,210.3908321,11.25129465,63.11724963,273.5080817,5.609776617
chol_ldl_4_mg_dl,Serum,0.983828596,0.070159442,17.65279876,0.908500207,5.295839627,22.94863838,5.829211249
phosl_ldl_4_mg_dl,Serum,0.984043786,0.072515077,10.0312648,0.506322534,3.009379439,13.04064423,5.94360163
f_chol_vldl_5_mg_dl,Serum,0.94805195,0.02245253,0.319036201,-0.0160927,0.09571086,0.22332534,5.947470568
chol_ldl_3_mg_dl,Serum,0.949185141,0.079068548,13.08678877,0.615135205,3.926036631,17.0128254,6.382396257
apo_b_ldl_3_mg_dl,Serum,0.966968818,0.070633815,8.462419551,0.383230075,2.538725865,11.00114542,6.62454758
ldl_3_particles_nmol_l,Serum,0.967033416,0.070631791,153.8749463,6.967708948,46.16248389,200.0374302,6.625202665
f_chol_ldl_4_mg_dl,Serum,0.976470207,0.095137074,5.27255879,0.237906868,1.581767637,6.854326427,6.648684203
phenylalanine,Serum,NA,0.374699832,0.054090909,0.002418182,0.016227273,0.070318182,6.710526316
phosl_ldl_3_mg_dl,Serum,0.956065568,0.078285228,7.888603616,0.339099397,2.366581085,10.2551847,6.979018848
f_chol_ldl_3_mg_dl,Serum,0.95120543,0.095377887,4.619977054,0.176003824,1.385993116,6.005970171,7.874789777
chol_vldl_5_mg_dl,Serum,0.98013369,0.01494988,0.540829379,-0.02021823,0.162248814,0.378580565,8.024877315
chol_vldl_3_mg_dl,Serum,0.995604786,0.018006158,3.697383849,0.126569358,1.109215155,4.806599004,8.763694214
chol_ldl_6_mg_dl,Serum,0.936161138,0.114444332,32.27786004,-1.074176673,9.683358011,22.59450203,9.014679107
tg_hdl_2_mg_dl,Serum,0.988920022,0.037151738,2.68655269,0.089074552,0.805965807,3.492518497,9.048216257
chol_idl_mg_dl,Serum,0.982540697,0.021748591,12.586091,0.408884834,3.775827299,16.3619183,9.234451824
apo_b_ldl_6_mg_dl,Serum,0.951020554,0.090184046,26.42136865,-0.843461442,7.926410595,18.49495806,9.397478299
ldl_6_particles_nmol_l,Serum,0.95095687,0.090125111,480.3875661,-15.33076101,144.1162698,336.2712962,9.400464185
