ID,Type,Time,percent
alanine_mmol_l,EDTA,2,2.006206565
alanine_mmol_l,EDTA,4,6.621214656
alanine_mmol_l,EDTA,6,8.9505554
alanine_mmol_l,EDTA,8,12.1928676
creatinine_mmol_l,EDTA,2,-1.452378622
creatinine_mmol_l,EDTA,4,2.209933853
creatinine_mmol_l,EDTA,6,4.078470606
creatinine_mmol_l,EDTA,8,10.74537372
glutamine_mmol_l,EDTA,2,-2.88272762
glutamine_mmol_l,EDTA,4,-0.990299184
glutamine_mmol_l,EDTA,6,1.289004853
glutamine_mmol_l,EDTA,8,4.364118959
glycine_mmol_l,EDTA,2,8.568945052
glycine_mmol_l,EDTA,4,21.90691807
glycine_mmol_l,EDTA,6,22.87750208
glycine_mmol_l,EDTA,8,25.71812546
histidine_mmol_l,EDTA,2,9.071604231
histidine_mmol_l,EDTA,4,8.149729611
histidine_mmol_l,EDTA,6,10.94493536
histidine_mmol_l,EDTA,8,10.02295758
isoleucine_mmol_l,EDTA,2,7.375890081
isoleucine_mmol_l,EDTA,4,19.46350717
isoleucine_mmol_l,EDTA,6,8.867692607
isoleucine_mmol_l,EDTA,8,15.59569868
leucine_mmol_l,EDTA,2,1.77120335
leucine_mmol_l,EDTA,4,9.111834612
leucine_mmol_l,EDTA,6,14.62914042
leucine_mmol_l,EDTA,8,18.48452513
lysine_mmol_l,EDTA,2,-5.175268252
lysine_mmol_l,EDTA,4,10.16728538
lysine_mmol_l,EDTA,6,12.79229353
lysine_mmol_l,EDTA,8,13.25418786
phenylalanine_mmol_l,EDTA,2,-12.44516593
phenylalanine_mmol_l,EDTA,4,3.16990888
phenylalanine_mmol_l,EDTA,6,1.957267489
phenylalanine_mmol_l,EDTA,8,-7.26282739
tyrosine_mmol_l,EDTA,2,8.978014203
tyrosine_mmol_l,EDTA,4,8.871920292
tyrosine_mmol_l,EDTA,6,11.53651469
tyrosine_mmol_l,EDTA,8,14.04970999
valine_mmol_l,EDTA,2,4.74101448
valine_mmol_l,EDTA,4,12.40058133
valine_mmol_l,EDTA,6,18.86297151
valine_mmol_l,EDTA,8,15.57937477
citric_acid_mmol_l,EDTA,2,-6.595089167
citric_acid_mmol_l,EDTA,4,11.06006695
citric_acid_mmol_l,EDTA,6,15.50649636
citric_acid_mmol_l,EDTA,8,16.84920384
lactic_acid_mmol_l,EDTA,2,19.90866035
lactic_acid_mmol_l,EDTA,4,5.010898652
lactic_acid_mmol_l,EDTA,6,16.43585499
lactic_acid_mmol_l,EDTA,8,5.63553114
acetone_mmol_l,EDTA,2,-54.13158151
acetone_mmol_l,EDTA,4,-11.86861869
acetone_mmol_l,EDTA,6,-41.73972106
acetone_mmol_l,EDTA,8,-17.65474577
pyruvic_acid_mmol_l,EDTA,2,-4.745614044
pyruvic_acid_mmol_l,EDTA,4,-7.865328052
pyruvic_acid_mmol_l,EDTA,6,-3.99851485
pyruvic_acid_mmol_l,EDTA,8,-2.981622638
glucose_mmol_l,EDTA,2,1.418605887
glucose_mmol_l,EDTA,4,7.134067658
glucose_mmol_l,EDTA,6,9.239271166
glucose_mmol_l,EDTA,8,17.57235304
TG_mg_dl,EDTA,2,0.826151148
TG_mg_dl,EDTA,4,3.35906307
TG_mg_dl,EDTA,6,6.864183129
