ID,Type,Time,percent
alanine,EDTA,2,0.871216352
alanine,EDTA,4,2.728920158
alanine,EDTA,6,3.405036191
alanine,EDTA,8,5.489889616
creatinine,EDTA,2,-5.03331727
creatinine,EDTA,4,-13.96061323
creatinine,EDTA,6,-21.37352508
creatinine,EDTA,8,-24.5684138
glutamine,EDTA,2,-3.359362798
glutamine,EDTA,4,18.20787004
glutamine,EDTA,6,11.46516376
glutamine,EDTA,8,29.67991013
glycine,EDTA,2,-13.00662599
glycine,EDTA,4,27.00975327
glycine,EDTA,6,17.10708539
glycine,EDTA,8,31.39839822
histidine,EDTA,2,-1.819186072
histidine,EDTA,4,3.093648237
histidine,EDTA,6,-5.450325153
histidine,EDTA,8,11.28682969
isoleucine,EDTA,2,1.01141131
isoleucine,EDTA,4,-1.733887317
isoleucine,EDTA,6,13.6596275
isoleucine,EDTA,8,1.969760714
leucine,EDTA,2,9.171308552
leucine,EDTA,4,4.054387659
leucine,EDTA,6,13.49042177
leucine,EDTA,8,14.40374755
lysine,EDTA,2,-19.97752308
lysine,EDTA,4,-5.169748705
lysine,EDTA,6,-13.64136118
lysine,EDTA,8,-15.91834611
phenylalanine,EDTA,2,0.374827199
phenylalanine,EDTA,4,6.732661435
phenylalanine,EDTA,6,4.471314833
phenylalanine,EDTA,8,13.55924286
tyrosine,EDTA,2,3.862025698
tyrosine,EDTA,4,9.643124469
tyrosine,EDTA,6,9.171085085
tyrosine,EDTA,8,8.714930943
valine,EDTA,2,-0.641022847
valine,EDTA,4,4.891293115
valine,EDTA,6,5.465291035
valine,EDTA,8,9.912690782
citric_acid,EDTA,2,5.728039387
citric_acid,EDTA,4,8.81970607
citric_acid,EDTA,6,9.52614473
citric_acid,EDTA,8,10.89627235
lactic_acid,EDTA,2,-10.6767098
lactic_acid,EDTA,4,-17.48720996
lactic_acid,EDTA,6,-19.67816401
lactic_acid,EDTA,8,-17.84368684
acetone,EDTA,2,-9.572622623
acetone,EDTA,4,15.98955309
acetone,EDTA,6,5.191958869
acetone,EDTA,8,6.876585988
pyruvic_acid,EDTA,2,-14.56326381
pyruvic_acid,EDTA,4,-15.85253563
pyruvic_acid,EDTA,6,-15.93849468
pyruvic_acid,EDTA,8,-35.62009674
glucose,EDTA,2,2.54840725
glucose,EDTA,4,17.18773858
glucose,EDTA,6,26.87542343
glucose,EDTA,8,33.58447529
TG,EDTA,2,2.431999477
TG,EDTA,4,5.968156722
TG,EDTA,6,8.618301015
TG,EDTA,8,9.861297856
CHOL,EDTA,2,2.192799758
CHOL,EDTA,4,7.61669043
CHOL,EDTA,6,9.718331591
CHOL,EDTA,8,13.39866888
LDL_CHOL,EDTA,2,2.251201371
LDL_CHOL,EDTA,4,9.349324978
LDL_CHOL,EDTA,6,11.30532952
LDL_CHOL,EDTA,8,15.92445446
HDL_CHOL,EDTA,2,0.699087976
HDL_CHOL,EDTA,4,0.334836174
HDL_CHOL,EDTA,6,1.087304518
HDL_CHOL,EDTA,8,4.002440715
ApoA1,EDTA,2,3.308495052
ApoA1,EDTA,4,6.51950405
ApoA1,EDTA,6,10.39283058
ApoA1,EDTA,8,13.57611337
ApoA2,EDTA,2,2.968337816
ApoA2,EDTA,4,7.320588719
ApoA2,EDTA,6,9.025581021
ApoA2,EDTA,8,14.59099152
ApoB100,EDTA,2,4.536332831
ApoB100,EDTA,4,12.53241636
ApoB100,EDTA,6,16.25899126
ApoB100,EDTA,8,20.32746044
